# time(seconds) Ndecays
4.813101637704713236e-06 1.719104000000000000e+07
4.875609451181398076e-06 1.552101400000000000e+07
4.938117264658082917e-06 1.388060100000000000e+07
5.000625078134766910e-06 1.227229200000000000e+07
5.063132891611451751e-06 1.072293900000000000e+07
5.125640705088136591e-06 9.237852000000000000e+06
5.188148518564820585e-06 7.830449000000000000e+06
5.250656332041505425e-06 6.511655000000000000e+06
5.313164145518190266e-06 5.287151000000000000e+06
5.375671958994874259e-06 4.179388000000000000e+06
5.438179772471559099e-06 3.184962000000000000e+06
5.500687585948243940e-06 2.313987000000000000e+06
5.563195399424928780e-06 1.574462000000000000e+06
5.625703212901612774e-06 9.738880000000000000e+05
5.688211026378297614e-06 5.144460000000000000e+05
5.750718839854982455e-06 1.983980000000000000e+05
5.813226653331666448e-06 2.993700000000000000e+04
5.875734466808351289e-06 9.713000000000000000e+03
5.938242280285036129e-06 1.364620000000000000e+05
6.000750093761720970e-06 4.091130000000000000e+05
6.063257907238404963e-06 8.251330000000000000e+05
6.125765720715089804e-06 1.382697000000000000e+06
6.188273534191774644e-06 2.070904000000000000e+06
6.250781347668458638e-06 2.888449000000000000e+06
6.313289161145143478e-06 3.832864000000000000e+06
6.375796974621828319e-06 4.885779000000000000e+06
6.438304788098512312e-06 6.048577000000000000e+06
6.500812601575197153e-06 7.295215000000000000e+06
6.563320415051881993e-06 8.638907000000000000e+06
6.625828228528566834e-06 1.005183300000000000e+07
6.688336042005250827e-06 1.152238400000000000e+07
6.750843855481935667e-06 1.304918300000000000e+07
6.813351668958620508e-06 1.461209800000000000e+07
6.875859482435304501e-06 1.620115900000000000e+07
6.938367295911989342e-06 1.779852400000000000e+07
7.000875109388674182e-06 1.939399800000000000e+07
7.063382922865358176e-06 2.097522800000000000e+07
7.125890736342043016e-06 2.252549000000000000e+07
7.188398549818727857e-06 2.404163800000000000e+07
7.250906363295412697e-06 2.549406200000000000e+07
7.313414176772096691e-06 2.689057200000000000e+07
7.375921990248781531e-06 2.821601800000000000e+07
7.438429803725466372e-06 2.944016200000000000e+07
7.500937617202150365e-06 3.057779300000000000e+07
7.563445430678835206e-06 3.161255800000000000e+07
7.625953244155520046e-06 3.253612900000000000e+07
7.688461057632204040e-06 3.332839000000000000e+07
7.750968871108889727e-06 3.398502200000000000e+07
7.813476684585573721e-06 3.453060600000000000e+07
7.875984498062257714e-06 3.492557900000000000e+07
7.938492311538943402e-06 3.518573200000000000e+07
8.001000125015627395e-06 3.530264000000000000e+07
8.063507938492311388e-06 3.527622300000000000e+07
8.126015751968997076e-06 3.510992100000000000e+07
8.188523565445681069e-06 3.479282200000000000e+07
8.251031378922365063e-06 3.435157200000000000e+07
8.313539192399050750e-06 3.376549800000000000e+07
8.376047005875734744e-06 3.305754500000000000e+07
8.438554819352418737e-06 3.222074800000000000e+07
8.501062632829104425e-06 3.126760400000000000e+07
8.563570446305788418e-06 3.020981300000000000e+07
8.626078259782474106e-06 2.903668800000000000e+07
8.688586073259158099e-06 2.778967200000000000e+07
8.751093886735842093e-06 2.646101700000000000e+07
8.813601700212527780e-06 2.505230500000000000e+07
8.876109513689211774e-06 2.358969500000000000e+07
8.938617327165895767e-06 2.208119700000000000e+07
9.001125140642581455e-06 2.053704300000000000e+07
9.063632954119265448e-06 1.895835500000000000e+07
9.126140767595949442e-06 1.738951100000000000e+07
9.188648581072635129e-06 1.582034500000000000e+07
9.251156394549319123e-06 1.424945000000000000e+07
9.313664208026003116e-06 1.272287200000000000e+07
9.376172021502688804e-06 1.122510300000000000e+07
9.438679834979372797e-06 9.785797000000000000e+06
9.501187648456056790e-06 8.407086000000000000e+06
9.563695461932742478e-06 7.109642000000000000e+06
9.626203275409426471e-06 5.889521000000000000e+06
9.688711088886110465e-06 4.769479000000000000e+06
9.751218902362796152e-06 3.746008000000000000e+06
9.813726715839480146e-06 2.834936000000000000e+06
9.876234529316165833e-06 2.040704000000000000e+06
9.938742342792849827e-06 1.371623000000000000e+06
1.000125015626953382e-05 8.290130000000000000e+05
1.006375796974621951e-05 4.228860000000000000e+05
1.012626578322290350e-05 1.510300000000000000e+05
1.018877359669958749e-05 1.578000000000000000e+04
1.025128141017627318e-05 1.926300000000000000e+04
1.031378922365295718e-05 1.600480000000000000e+05
1.037629703712964117e-05 4.359110000000000000e+05
1.043880485060632686e-05 8.467660000000000000e+05
1.050131266408301085e-05 1.388544000000000000e+06
1.056382047755969484e-05 2.054990000000000000e+06
1.062632829103638053e-05 2.836345000000000000e+06
1.068883610451306452e-05 3.733647000000000000e+06
1.075134391798974852e-05 4.740527000000000000e+06
1.081385173146643421e-05 5.834350000000000000e+06
1.087635954494311820e-05 7.021699000000000000e+06
1.093886735841980389e-05 8.285963000000000000e+06
1.100137517189648788e-05 9.614709000000000000e+06
1.106388298537317187e-05 1.099701800000000000e+07
1.112639079884985756e-05 1.243506600000000000e+07
1.118889861232654155e-05 1.389910100000000000e+07
1.125140642580322555e-05 1.537977800000000000e+07
1.131391423927991124e-05 1.687326500000000000e+07
1.137642205275659523e-05 1.836700400000000000e+07
1.143892986623327922e-05 1.983264900000000000e+07
1.150143767970996491e-05 2.128002500000000000e+07
1.156394549318664890e-05 2.268274800000000000e+07
1.162645330666333290e-05 2.403324000000000000e+07
1.168896112014001858e-05 2.532753300000000000e+07
1.175146893361670258e-05 2.655112000000000000e+07
1.181397674709338657e-05 2.769336000000000000e+07
1.187648456057007226e-05 2.873712300000000000e+07
1.193899237404675625e-05 2.969429400000000000e+07
1.200150018752344194e-05 3.052016700000000000e+07
1.206400800100012593e-05 3.125830100000000000e+07
1.212651581447680993e-05 3.184572400000000000e+07
1.218902362795349561e-05 3.233549200000000000e+07
1.225153144143017961e-05 3.268268800000000000e+07
1.231403925490686360e-05 3.289699800000000000e+07
1.237654706838354929e-05 3.299482500000000000e+07
1.243905488186023328e-05 3.294976500000000000e+07
1.250156269533691728e-05 3.277271300000000000e+07
1.256407050881360296e-05 3.246701500000000000e+07
1.262657832229028696e-05 3.201756100000000000e+07
1.268908613576697095e-05 3.145565300000000000e+07
1.275159394924365664e-05 3.077633100000000000e+07
1.281410176272034063e-05 2.996942400000000000e+07
1.287660957619702462e-05 2.906509400000000000e+07
1.293911738967371031e-05 2.805415600000000000e+07
1.300162520315039431e-05 2.696064100000000000e+07
1.306413301662707830e-05 2.576689400000000000e+07
1.312664083010376399e-05 2.450915300000000000e+07
1.318914864358044798e-05 2.318755400000000000e+07
1.325165645705713367e-05 2.181150600000000000e+07
1.331416427053381766e-05 2.039470200000000000e+07
1.337667208401050165e-05 1.894491900000000000e+07
1.343917989748718734e-05 1.747637500000000000e+07
1.350168771096387133e-05 1.600454800000000000e+07
1.356419552444055533e-05 1.453624000000000000e+07
1.362670333791724102e-05 1.308548200000000000e+07
1.368921115139392501e-05 1.165567800000000000e+07
1.375171896487060900e-05 1.026806500000000000e+07
1.381422677834729469e-05 8.933864000000000000e+06
1.387673459182397868e-05 7.655144000000000000e+06
1.393924240530066268e-05 6.451740000000000000e+06
1.400175021877734836e-05 5.325864000000000000e+06
1.406425803225403236e-05 4.284401000000000000e+06
1.412676584573071635e-05 3.351876000000000000e+06
1.418927365920740204e-05 2.519219000000000000e+06
1.425178147268408603e-05 1.797814000000000000e+06
1.431428928616077172e-05 1.191182000000000000e+06
1.437679709963745571e-05 7.078970000000000000e+05
1.443930491311413971e-05 3.447450000000000000e+05
1.450181272659082539e-05 1.116980000000000000e+05
1.456432054006750939e-05 6.264000000000000000e+03
1.462682835354419338e-05 3.034300000000000000e+04
1.468933616702087907e-05 1.822520000000000000e+05
1.475184398049756306e-05 4.614830000000000000e+05
1.481435179397424706e-05 8.678180000000000000e+05
1.487685960745093274e-05 1.391544000000000000e+06
1.493936742092761674e-05 2.031062000000000000e+06
1.500187523440430073e-05 2.782788000000000000e+06
1.506438304788098642e-05 3.635349000000000000e+06
1.512689086135767041e-05 4.591367000000000000e+06
1.518939867483435440e-05 5.630780000000000000e+06
1.525190648831104009e-05 6.747089000000000000e+06
1.531441430178772409e-05 7.948772000000000000e+06
1.537692211526440808e-05 9.196551000000000000e+06
1.543942992874109207e-05 1.049393100000000000e+07
1.550193774221777945e-05 1.184163200000000000e+07
1.556444555569446345e-05 1.321268300000000000e+07
1.562695336917114744e-05 1.460257800000000000e+07
1.568946118264783143e-05 1.599897600000000000e+07
1.575196899612451543e-05 1.738905000000000000e+07
1.581447680960119942e-05 1.876654800000000000e+07
1.587698462307788680e-05 2.010853100000000000e+07
1.593949243655457080e-05 2.141121200000000000e+07
1.600200025003125479e-05 2.266273000000000000e+07
1.606450806350793878e-05 2.387610000000000000e+07
1.612701587698462278e-05 2.500002000000000000e+07
1.618952369046131016e-05 2.605105200000000000e+07
1.625203150393799415e-05 2.701379500000000000e+07
1.631453931741467815e-05 2.787457500000000000e+07
1.637704713089136214e-05 2.863932500000000000e+07
1.643955494436804613e-05 2.930489700000000000e+07
1.650206275784473013e-05 2.985288700000000000e+07
1.656457057132141751e-05 3.027724200000000000e+07
1.662707838479810150e-05 3.058692600000000000e+07
1.668958619827478549e-05 3.077671700000000000e+07
1.675209401175146949e-05 3.083287500000000000e+07
1.681460182522815348e-05 3.076483200000000000e+07
1.687710963870483747e-05 3.058285300000000000e+07
1.693961745218152486e-05 3.026882800000000000e+07
1.700212526565820885e-05 2.983584700000000000e+07
1.706463307913489284e-05 2.929776300000000000e+07
1.712714089261157684e-05 2.864006000000000000e+07
1.718964870608826083e-05 2.787197700000000000e+07
1.725215651956494821e-05 2.701585600000000000e+07
1.731466433304163221e-05 2.605761800000000000e+07
1.737717214651831620e-05 2.501104400000000000e+07
1.743967995999500019e-05 2.388575100000000000e+07
1.750218777347168419e-05 2.270223200000000000e+07
1.756469558694836818e-05 2.145413200000000000e+07
1.762720340042505556e-05 2.017414900000000000e+07
1.768971121390173955e-05 1.883677500000000000e+07
1.775221902737842355e-05 1.747858600000000000e+07
1.781472684085510754e-05 1.610789800000000000e+07
1.787723465433179153e-05 1.472936000000000000e+07
1.793974246780847553e-05 1.335762700000000000e+07
1.800225028128516291e-05 1.199941000000000000e+07
1.806475809476184690e-05 1.067122200000000000e+07
1.812726590823853090e-05 9.389376000000000000e+06
1.818977372171521489e-05 8.152371000000000000e+06
1.825228153519189888e-05 6.965728000000000000e+06
1.831478934866858626e-05 5.845738000000000000e+06
1.837729716214527026e-05 4.812800000000000000e+06
1.843980497562195425e-05 3.859592000000000000e+06
1.850231278909863825e-05 2.997894000000000000e+06
1.856482060257532224e-05 2.238270000000000000e+06
1.862732841605200623e-05 1.578999000000000000e+06
1.868983622952869361e-05 1.032422000000000000e+06
1.875234404300537761e-05 5.965460000000000000e+05
1.881485185648206160e-05 2.787750000000000000e+05
1.887735966995874559e-05 8.006800000000000000e+04
1.893986748343542959e-05 1.326000000000000000e+03
1.900237529691211358e-05 4.344300000000000000e+04
1.906488311038880096e-05 2.055350000000000000e+05
1.912739092386548496e-05 4.865700000000000000e+05
1.918989873734216895e-05 8.816870000000000000e+05
1.925240655081885294e-05 1.390353000000000000e+06
1.931491436429553694e-05 2.006896000000000000e+06
1.937742217777222093e-05 2.722019000000000000e+06
1.943992999124890831e-05 3.538829000000000000e+06
1.950243780472559230e-05 4.442386000000000000e+06
1.956494561820227630e-05 5.427748000000000000e+06
1.962745343167896029e-05 6.485008000000000000e+06
1.968996124515564429e-05 7.613850000000000000e+06
1.975246905863233167e-05 8.785138000000000000e+06
1.981497687210901566e-05 1.000891600000000000e+07
1.987748468558569965e-05 1.127267300000000000e+07
1.993999249906238365e-05 1.255670700000000000e+07
2.000250031253906764e-05 1.386041100000000000e+07
2.006500812601575163e-05 1.516016000000000000e+07
2.012751593949243902e-05 1.645356200000000000e+07
2.019002375296912301e-05 1.774057700000000000e+07
2.025253156644580700e-05 1.898483500000000000e+07
2.031503937992249100e-05 2.020446300000000000e+07
2.037754719339917499e-05 2.137826600000000000e+07
2.044005500687585898e-05 2.247450000000000000e+07
2.050256282035254636e-05 2.352163700000000000e+07
2.056507063382923036e-05 2.448309400000000000e+07
2.062757844730591435e-05 2.537418800000000000e+07
2.069008626078259834e-05 2.617877900000000000e+07
2.075259407425928234e-05 2.687686900000000000e+07
2.081510188773596972e-05 2.747106400000000000e+07
2.087760970121265371e-05 2.795749000000000000e+07
2.094011751468933771e-05 2.835087500000000000e+07
2.100262532816602170e-05 2.861693000000000000e+07
2.106513314164270569e-05 2.877278900000000000e+07
2.112764095511938969e-05 2.880524200000000000e+07
2.119014876859607707e-05 2.873303500000000000e+07
2.125265658207276106e-05 2.854782100000000000e+07
2.131516439554944506e-05 2.823117800000000000e+07
2.137767220902612905e-05 2.780774100000000000e+07
2.144018002250281304e-05 2.728754800000000000e+07
2.150268783597949704e-05 2.664784100000000000e+07
2.156519564945618442e-05 2.591714000000000000e+07
2.162770346293286841e-05 2.509870700000000000e+07
2.169021127640955240e-05 2.419220000000000000e+07
2.175271908988623640e-05 2.320855900000000000e+07
2.181522690336292039e-05 2.215855300000000000e+07
2.187773471683960777e-05 2.103622900000000000e+07
2.194024253031629177e-05 1.986237300000000000e+07
2.200275034379297576e-05 1.863984800000000000e+07
2.206525815726965975e-05 1.740516700000000000e+07
2.212776597074634375e-05 1.612306900000000000e+07
2.219027378422302774e-05 1.484070600000000000e+07
2.225278159769971512e-05 1.355227900000000000e+07
2.231528941117639912e-05 1.227445500000000000e+07
2.237779722465308311e-05 1.100892400000000000e+07
2.244030503812976710e-05 9.768883000000000000e+06
2.250281285160645110e-05 8.582605000000000000e+06
2.256532066508313509e-05 7.425030000000000000e+06
2.262782847855982247e-05 6.330768000000000000e+06
2.269033629203650646e-05 5.301074000000000000e+06
2.275284410551319046e-05 4.345213000000000000e+06
2.281535191898987445e-05 3.471870000000000000e+06
2.287785973246655844e-05 2.681018000000000000e+06
2.294036754594324583e-05 1.985321000000000000e+06
2.300287535941992982e-05 1.384827000000000000e+06
2.306538317289661381e-05 8.885970000000000000e+05
2.312789098637329781e-05 5.000800000000000000e+05
2.319039879984998180e-05 2.212820000000000000e+05
2.325290661332666579e-05 5.487700000000000000e+04
2.331541442680335317e-05 1.100000000000000000e+01
2.337792224028003717e-05 5.793900000000000000e+04
2.344043005375672116e-05 2.269080000000000000e+05
2.350293786723340516e-05 5.070910000000000000e+05
2.356544568071008915e-05 8.947210000000000000e+05
2.362795349418677314e-05 1.386255000000000000e+06
2.369046130766346052e-05 1.976744000000000000e+06
2.375296912114014452e-05 2.661988000000000000e+06
2.381547693461682851e-05 3.438004000000000000e+06
2.387798474809351250e-05 4.298259000000000000e+06
2.394049256157019650e-05 5.229594000000000000e+06
2.400300037504688388e-05 6.226282000000000000e+06
2.406550818852356787e-05 7.288721000000000000e+06
2.412801600200025187e-05 8.394304000000000000e+06
2.419052381547693586e-05 9.547894000000000000e+06
2.425303162895361985e-05 1.072490800000000000e+07
2.431553944243030385e-05 1.193573900000000000e+07
2.437804725590699123e-05 1.315363300000000000e+07
2.444055506938367522e-05 1.436871500000000000e+07
2.450306288286035921e-05 1.557963000000000000e+07
2.456557069633704321e-05 1.676537800000000000e+07
2.462807850981372720e-05 1.794069300000000000e+07
2.469058632329041120e-05 1.905952300000000000e+07
2.475309413676709858e-05 2.014013500000000000e+07
2.481560195024378257e-05 2.116939100000000000e+07
2.487810976372046656e-05 2.213266900000000000e+07
2.494061757719715056e-05 2.302722900000000000e+07
2.500312539067383455e-05 2.384528000000000000e+07
2.506563320415051854e-05 2.457667700000000000e+07
2.512814101762720593e-05 2.520747600000000000e+07
2.519064883110388992e-05 2.575166200000000000e+07
2.525315664458057391e-05 2.620174700000000000e+07
2.531566445805725791e-05 2.653952000000000000e+07
2.537817227153394190e-05 2.678227600000000000e+07
2.544068008501062928e-05 2.689913400000000000e+07
2.550318789848731327e-05 2.691677700000000000e+07
2.556569571196399727e-05 2.683116700000000000e+07
2.562820352544068126e-05 2.662989300000000000e+07
2.569071133891736525e-05 2.632663900000000000e+07
2.575321915239404925e-05 2.591926200000000000e+07
2.581572696587073663e-05 2.540505900000000000e+07
2.587823477934742062e-05 2.479386600000000000e+07
2.594074259282410462e-05 2.410724900000000000e+07
2.600325040630078861e-05 2.332250000000000000e+07
2.606575821977747260e-05 2.246051900000000000e+07
2.612826603325415660e-05 2.152524100000000000e+07
2.619077384673084398e-05 2.052669100000000000e+07
2.625328166020752797e-05 1.948329000000000000e+07
2.631578947368421197e-05 1.837900800000000000e+07
2.637829728716089596e-05 1.724005800000000000e+07
2.644080510063757995e-05 1.606092700000000000e+07
2.650331291411426733e-05 1.487161200000000000e+07
2.656582072759095133e-05 1.367258800000000000e+07
2.662832854106763532e-05 1.247200400000000000e+07
2.669083635454431931e-05 1.127146500000000000e+07
2.675334416802100331e-05 1.009987100000000000e+07
2.681585198149768730e-05 8.949401000000000000e+06
2.687835979497437468e-05 7.837465000000000000e+06
2.694086760845105868e-05 6.771205000000000000e+06
2.700337542192774267e-05 5.756749000000000000e+06
2.706588323540442666e-05 4.800155000000000000e+06
2.712839104888111066e-05 3.918692000000000000e+06
2.719089886235779465e-05 3.116535000000000000e+06
2.725340667583448203e-05 2.391391000000000000e+06
2.731591448931116603e-05 1.755954000000000000e+06
2.737842230278785002e-05 1.210402000000000000e+06
2.744093011626453401e-05 7.652500000000000000e+05
2.750343792974121801e-05 4.180380000000000000e+05
2.756594574321790539e-05 1.748420000000000000e+05
2.762845355669458938e-05 3.533400000000000000e+04
2.769096137017127337e-05 1.626000000000000000e+03
2.775346918364795737e-05 7.280900000000000000e+04
2.781597699712464136e-05 2.479980000000000000e+05
2.787848481060132535e-05 5.270660000000000000e+05
2.794099262407801274e-05 9.037360000000000000e+05
2.800350043755469673e-05 1.380639000000000000e+06
2.806600825103138072e-05 1.944832000000000000e+06
2.812851606450806472e-05 2.603070000000000000e+06
2.819102387798474871e-05 3.337015000000000000e+06
2.825353169146143270e-05 4.151799000000000000e+06
2.831603950493812009e-05 5.035747000000000000e+06
2.837854731841480408e-05 5.976936000000000000e+06
2.844105513189148807e-05 6.978716000000000000e+06
2.850356294536817207e-05 8.019346000000000000e+06
2.856607075884485606e-05 9.103665000000000000e+06
2.862857857232154344e-05 1.020816400000000000e+07
2.869108638579822743e-05 1.133902400000000000e+07
2.875359419927491143e-05 1.247359100000000000e+07
2.881610201275159542e-05 1.360843200000000000e+07
2.887860982622827941e-05 1.473594200000000000e+07
2.894111763970496341e-05 1.585203700000000000e+07
2.900362545318165079e-05 1.693662900000000000e+07
2.906613326665833478e-05 1.798793300000000000e+07
2.912864108013501878e-05 1.898182300000000000e+07
2.919114889361170277e-05 1.992890800000000000e+07
2.925365670708838676e-05 2.082680000000000000e+07
2.931616452056507076e-05 2.163865500000000000e+07
2.937867233404175814e-05 2.239713600000000000e+07
2.944118014751844213e-05 2.305798700000000000e+07
2.950368796099512613e-05 2.364485900000000000e+07
2.956619577447181012e-05 2.414626700000000000e+07
2.962870358794849411e-05 2.454445900000000000e+07
2.969121140142517811e-05 2.484667400000000000e+07
2.975371921490186549e-05 2.505444200000000000e+07
2.981622702837854948e-05 2.515066000000000000e+07
2.987873484185523347e-05 2.514169600000000000e+07
2.994124265533191747e-05 2.503823400000000000e+07
3.000375046880860146e-05 2.485035800000000000e+07
3.006625828228528884e-05 2.453837100000000000e+07
3.012876609576197284e-05 2.414133600000000000e+07
3.019127390923865683e-05 2.366200400000000000e+07
3.025378172271534082e-05 2.308077800000000000e+07
3.031628953619202482e-05 2.240794300000000000e+07
3.037879734966870881e-05 2.166921000000000000e+07
3.044130516314539619e-05 2.084980600000000000e+07
3.050381297662208018e-05 1.997157300000000000e+07
3.056632079009876079e-05 1.902660100000000000e+07
3.062882860357544817e-05 1.803602100000000000e+07
3.069133641705213555e-05 1.700389700000000000e+07
3.075384423052881616e-05 1.592555600000000000e+07
3.081635204400550354e-05 1.483592000000000000e+07
3.087885985748218415e-05 1.372371100000000000e+07
3.094136767095887153e-05 1.259222600000000000e+07
3.100387548443555891e-05 1.146875500000000000e+07
3.106638329791223951e-05 1.035602400000000000e+07
3.112889111138892690e-05 9.260116000000000000e+06
3.119139892486560750e-05 8.193204000000000000e+06
3.125390673834229488e-05 7.159262000000000000e+06
3.131641455181898226e-05 6.164830000000000000e+06
3.137892236529566287e-05 5.229406000000000000e+06
3.144143017877235025e-05 4.351624000000000000e+06
3.150393799224903086e-05 3.540244000000000000e+06
3.156644580572571824e-05 2.796063000000000000e+06
3.162895361920239884e-05 2.129678000000000000e+06
3.169146143267908622e-05 1.550184000000000000e+06
3.175396924615577361e-05 1.057487000000000000e+06
3.181647705963245421e-05 6.549320000000000000e+05
3.187898487310914159e-05 3.461360000000000000e+05
3.194149268658582220e-05 1.356040000000000000e+05
3.200400050006250958e-05 2.163300000000000000e+04
3.206650831353919696e-05 5.660000000000000000e+03
3.212901612701587757e-05 8.865400000000000000e+04
3.219152394049256495e-05 2.676210000000000000e+05
3.225403175396924555e-05 5.440770000000000000e+05
3.231653956744593294e-05 9.114330000000000000e+05
3.237904738092262032e-05 1.370212000000000000e+06
3.244155519439930092e-05 1.913787000000000000e+06
3.250406300787598830e-05 2.538621000000000000e+06
3.256657082135266891e-05 3.240963000000000000e+06
3.262907863482935629e-05 4.011129000000000000e+06
3.269158644830603690e-05 4.844675000000000000e+06
3.275409426178272428e-05 5.734855000000000000e+06
3.281660207525941166e-05 6.678348000000000000e+06
3.287910988873609226e-05 7.657019000000000000e+06
3.294161770221277965e-05 8.668283000000000000e+06
3.300412551568946025e-05 9.712075000000000000e+06
3.306663332916614763e-05 1.076551500000000000e+07
3.312914114264283501e-05 1.182817400000000000e+07
3.319164895611951562e-05 1.289053700000000000e+07
3.325415676959620300e-05 1.394630700000000000e+07
3.331666458307288361e-05 1.498468400000000000e+07
3.337917239654957099e-05 1.598743400000000000e+07
3.344168021002625837e-05 1.696501200000000000e+07
3.350418802350293898e-05 1.789140200000000000e+07
3.356669583697962636e-05 1.876563400000000000e+07
3.362920365045630696e-05 1.959267200000000000e+07
3.369171146393299434e-05 2.035361100000000000e+07
3.375421927740967495e-05 2.103626100000000000e+07
3.381672709088636233e-05 2.164655900000000000e+07
3.387923490436304971e-05 2.218268600000000000e+07
3.394174271783973032e-05 2.262311100000000000e+07
3.400425053131641770e-05 2.298591500000000000e+07
3.406675834479309830e-05 2.325576100000000000e+07
3.412926615826978569e-05 2.343420900000000000e+07
3.419177397174647307e-05 2.350586000000000000e+07
3.425428178522315367e-05 2.349245000000000000e+07
3.431678959869984105e-05 2.337450100000000000e+07
3.437929741217652166e-05 2.316856100000000000e+07
3.444180522565320904e-05 2.287190900000000000e+07
3.450431303912989642e-05 2.250728500000000000e+07
3.456682085260657703e-05 2.202111800000000000e+07
3.462932866608326441e-05 2.146077300000000000e+07
3.469183647955994502e-05 2.082232900000000000e+07
3.475434429303663240e-05 2.013221300000000000e+07
3.481685210651331300e-05 1.935210200000000000e+07
3.487935991999000038e-05 1.852995500000000000e+07
3.494186773346668777e-05 1.762642900000000000e+07
3.500437554694336837e-05 1.670191100000000000e+07
3.506688336042005575e-05 1.572260800000000000e+07
3.512939117389673636e-05 1.472128500000000000e+07
3.519189898737342374e-05 1.368737500000000000e+07
3.525440680085011112e-05 1.264022000000000000e+07
3.531691461432679173e-05 1.159629000000000000e+07
3.537942242780347911e-05 1.054821200000000000e+07
3.544193024128015971e-05 9.503946000000000000e+06
3.550443805475684709e-05 8.484258000000000000e+06
3.556694586823353448e-05 7.492797000000000000e+06
3.562945368171021508e-05 6.531355000000000000e+06
3.569196149518690246e-05 5.620989000000000000e+06
3.575446930866358307e-05 4.748792000000000000e+06
3.581697712214027045e-05 3.935294000000000000e+06
3.587948493561695106e-05 3.186498000000000000e+06
3.594199274909363844e-05 2.509190000000000000e+06
3.600450056257032582e-05 1.900675000000000000e+06
3.606700837604700642e-05 1.369744000000000000e+06
3.612951618952369381e-05 9.217150000000000000e+05
3.619202400300037441e-05 5.601920000000000000e+05
3.625453181647706179e-05 2.868470000000000000e+05
3.631703962995374917e-05 1.030920000000000000e+05
